LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ, 
2016-05-02 23:21:41 +0000,LC,1732, 13812, 5436,-2632, -8679, 2720,2016-05-02 23:21:41 +0000,RC,-704, 15944, 6164,-4485, -6194, -4880
2016-05-02 23:21:41 +0000,LC,1992, 10580, 8148,-701, -941, -1567,2016-05-02 23:21:41 +0000,RC,-72, 15304, 10604,-11824, -10216, -1625
2016-05-02 23:21:41 +0000,LC,588, 14388, 10976,3521, 447, 1852,2016-05-02 23:21:41 +0000,RC,444, 13204, 13332,3391, -3119, 414
2016-05-02 23:21:41 +0000,LC,296, 12676, 7220,3577, 44, 975,2016-05-02 23:21:41 +0000,RC,292, 12104, 11140,663, -93, -503
2016-05-02 23:21:42 +0000,LC,852, 11644, 5944,1681, -924, -1304,2016-05-02 23:21:42 +0000,RC,488, 10944, 8740,-1288, -603, 1940
2016-05-02 23:21:42 +0000,LC,880, 12928, 7140,-2373, -677, 783,2016-05-02 23:21:42 +0000,RC,2060, 12380, 10036,1168, -2165, 1549
2016-05-02 23:21:42 +0000,LC,1512, 12532, 8144,-1114, -1004, 458,2016-05-02 23:21:42 +0000,RC,3248, 11848, 9152,1366, -9, -851
2016-05-02 23:21:42 +0000,LC,2156, 11988, 8420,-1483, -1075, 604,2016-05-02 23:21:42 +0000,RC,3080, 12696, 8988,-2271, -1023, 575
2016-05-02 23:21:42 +0000,LC,-660, 16228, 8488,-420, -982, -3042,2016-05-02 23:21:42 +0000,RC,396, 12964, 11184,-1293, -2150, 523
2016-05-02 23:21:42 +0000,LC,-300, 13052, 6488,-1133, -643, -542,2016-05-02 23:21:42 +0000,RC,336, 12300, 9904,1456, -138, -821
2016-05-02 23:21:42 +0000,LC,124, 13272, 6212,192, -691, 2,2016-05-02 23:21:43 +0000,RC,-232, 12224, 9072,74, -1480, -1718
2016-05-02 23:21:43 +0000,LC,1092, 13104, 7444,690, -1887, -412,2016-05-02 23:21:43 +0000,RC,2376, 13348, 10532,708, 963, -528
2016-05-02 23:21:43 +0000,LC,3400, 13660, 7844,-227, -659, -853,2016-05-02 23:21:43 +0000,RC,2928, 13620, 7664,2863, 362, -1556
2016-05-02 23:21:43 +0000,LC,1740, 13760, 7508,1170, -1738, 285,2016-05-02 23:21:43 +0000,RC,1152, 13772, 9400,-947, -2080, 362
2016-05-02 23:21:43 +0000,LC,1972, 12616, 6692,-1785, -1116, 1014,2016-05-02 23:21:43 +0000,RC,1376, 12960, 8880,1004, -1010, 150
2016-05-02 23:21:43 +0000,LC,752, 12988, 7744,-666, -1750, -259,2016-05-02 23:21:43 +0000,RC,-760, 13100, 10988,1201, -190, -237
2016-05-02 23:21:43 +0000,LC,1708, 13572, 7900,-1154, 1341, 610,2016-05-02 23:21:43 +0000,RC,88, 13556, 9040,2597, 722, -1253
2016-05-02 23:21:44 +0000,LC,2004, 13200, 7504,237, 218, 252,2016-05-02 23:21:44 +0000,RC,1156, 13340, 8104,-1810, 240, -608
2016-05-02 23:21:44 +0000,LC,2436, 12880, 7968,1112, -1412, 518,2016-05-02 23:21:44 +0000,RC,1088, 13872, 8820,-565, 428, -1128
2016-05-02 23:21:44 +0000,LC,2376, 12944, 7068,-181, -413, 8,2016-05-02 23:21:44 +0000,RC,904, 13720, 7824,328, 462, -506
2016-05-02 23:21:44 +0000,LC,2000, 13780, 7300,337, -660, 358,2016-05-02 23:21:44 +0000,RC,244, 14228, 8708,-713, -294, -241
2016-05-02 23:21:44 +0000,LC,1492, 13160, 7324,-951, 72, -616,2016-05-02 23:21:44 +0000,RC,308, 13612, 7924,672, -34, -494
2016-05-02 23:21:44 +0000,LC,1724, 13012, 7168,-59, -547, 386,2016-05-02 23:21:44 +0000,RC,468, 13676, 7964,-999, 530, 242
2016-05-02 23:21:44 +0000,LC,1460, 12532, 7556,-116, -144, -511,2016-05-02 23:21:44 +0000,RC,544, 13080, 8892,-1477, 22, 846
2016-05-02 23:21:45 +0000,LC,1080, 12580, 6228,223, -982, 13,2016-05-02 23:21:45 +0000,RC,500, 12532, 8328,1994, 751, 327
2016-05-02 23:21:45 +0000,LC,1280, 12524, 6712,-1472, 401, -628,2016-05-02 23:21:45 +0000,RC,512, 12596, 7476,-1539, 578, 600
2016-05-02 23:21:45 +0000,LC,1440, 12284, 6768,1239, -1380, -658,2016-05-02 23:21:45 +0000,RC,876, 12932, 7844,868, 1099, 741
2016-05-02 23:21:45 +0000,LC,1056, 12528, 5964,1009, -1111, -203,2016-05-02 23:21:45 +0000,RC,368, 12880, 7804,94, 455, 993
2016-05-02 23:21:45 +0000,LC,1764, 14256, 6780,2009, -1297, 576,2016-05-02 23:21:45 +0000,RC,792, 14360, 8280,1229, 1590, 565
2016-05-02 23:21:45 +0000,LC,1768, 14340, 6356,-1203, -134, -1350,2016-05-02 23:21:45 +0000,RC,-812, 15964, 9480,-2492, 54, -136
2016-05-02 23:21:45 +0000,LC,1008, 13192, 6536,520, -62, -944,2016-05-02 23:21:46 +0000,RC,992, 12764, 8860,-254, 994, 144
2016-05-02 23:21:46 +0000,LC,720, 14720, 6512,1944, -1132, 661,2016-05-02 23:21:46 +0000,RC,1084, 14560, 9516,-561, 430, 94
2016-05-02 23:21:46 +0000,LC,272, 14712, 5924,-1385, 9, -657,2016-05-02 23:21:46 +0000,RC,932, 13588, 9776,-1674, -14, 1472
2016-05-02 23:21:46 +0000,LC,284, 14432, 6260,-891, -343, 205,2016-05-02 23:21:46 +0000,RC,908, 13508, 10064,28, 473, 733
2016-05-02 23:21:46 +0000,LC,148, 15772, 7236,402, -1272, 731,2016-05-02 23:21:46 +0000,RC,1256, 14332, 10292,174, -262, 1043
2016-05-02 23:21:46 +0000,LC,1320, 17244, 7248,188, -1377, 923,2016-05-02 23:21:46 +0000,RC,1668, 15936, 10572,1302, 387, -106
2016-05-02 23:21:46 +0000,LC,1632, 16500, 7252,-219, -1379, 91,2016-05-02 23:21:46 +0000,RC,1952, 15336, 9740,66, -397, -457
2016-05-02 23:21:47 +0000,LC,1156, 15484, 6160,-592, -659, -799,2016-05-02 23:21:47 +0000,RC,1468, 14292, 8796,234, -211, -1158
2016-05-02 23:21:47 +0000,LC,852, 15236, 5712,426, -683, 286,2016-05-02 23:21:47 +0000,RC,856, 14292, 8512,-433, -512, -860
2016-05-02 23:21:47 +0000,LC,1360, 14264, 5764,-1226, 75, -133,2016-05-02 23:21:47 +0000,RC,1332, 14084, 8308,123, -1168, -1050
2016-05-02 23:21:47 +0000,LC,1144, 14368, 5728,-564, -622, 652,2016-05-02 23:21:47 +0000,RC,816, 14252, 8436,-100, -880, -1110
2016-05-02 23:21:47 +0000,LC,656, 14124, 5640,-1645, -139, -118,2016-05-02 23:21:47 +0000,RC,700, 13484, 8088,-1439, -731, 61
2016-05-02 23:21:47 +0000,LC,1056, 12440, 6960,-288, -1018, 1105,2016-05-02 23:21:47 +0000,RC,1324, 12264, 9056,68, -414, -20
2016-05-02 23:21:47 +0000,LC,1260, 11496, 4376,-1399, -371, -79,2016-05-02 23:21:47 +0000,RC,1476, 11004, 6512,1141, -68, -136
2016-05-02 23:21:48 +0000,LC,1584, 11200, 5640,-4803, 1520, -215,2016-05-02 23:21:48 +0000,RC,1188, 11396, 6944,-3982, -1661, 122
2016-05-02 23:21:48 +0000,LC,880, 13736, 7544,2186, -938, 1075,2016-05-02 23:21:48 +0000,RC,1396, 14052, 9016,2516, -474, -1222
2016-05-02 23:21:48 +0000,LC,860, 13340, 8172,902, -1743, 517,2016-05-02 23:21:48 +0000,RC,1184, 13860, 8220,1894, 639, -942
2016-05-02 23:21:48 +0000,LC,1480, 13188, 5804,-1726, -308, -354,2016-05-02 23:21:48 +0000,RC,812, 13676, 6096,-2173, -959, 559
2016-05-02 23:21:48 +0000,LC,1812, 11132, 5724,-398, -1630, -866,2016-05-02 23:21:48 +0000,RC,340, 11764, 6996,377, 1036, 438
2016-05-02 23:21:48 +0000,LC,-224, 11740, 4660,-769, -82, -1368,2016-05-02 23:21:48 +0000,RC,1820, 11312, 6072,-610, -477, 673
2016-05-02 23:21:49 +0000,LC,1416, 14556, 8332,2561, -2072, 1472,2016-05-02 23:21:49 +0000,RC,2236, 15860, 7996,584, -185, 108
2016-05-02 23:21:49 +0000,LC,2304, 13908, 6996,564, -1443, 288,2016-05-02 23:21:49 +0000,RC,1660, 14248, 6756,3195, 556, 219
2016-05-02 23:21:49 +0000,LC,2020, 14244, 6532,-23, -877, 83,2016-05-02 23:21:49 +0000,RC,1520, 15104, 5644,-623, 299, 408
2016-05-02 23:21:49 +0000,LC,1912, 14552, 7440,-2525, -565, -1551,2016-05-02 23:21:49 +0000,RC,1564, 15300, 7488,-2051, 658, 1683
2016-05-02 23:21:49 +0000,LC,2028, 14224, 8152,-288, -1186, -73,2016-05-02 23:21:49 +0000,RC,3016, 14856, 7508,-1203, 394, 1007
2016-05-02 23:21:49 +0000,LC,1456, 13324, 7236,-473, -138, -932,2016-05-02 23:21:49 +0000,RC,2760, 13696, 7640,-1223, 684, 765
2016-05-02 23:21:49 +0000,LC,1044, 13552, 8544,-1172, -691, 4,2016-05-02 23:21:49 +0000,RC,2724, 14528, 9164,-368, 904, -411
2016-05-02 23:21:50 +0000,LC,1116, 14956, 8600,665, -1004, 434,2016-05-02 23:21:50 +0000,RC,2872, 16464, 9404,-901, 333, -650
2016-05-02 23:21:50 +0000,LC,1660, 16780, 8964,329, -37, -244,2016-05-02 23:21:50 +0000,RC,2660, 16720, 9408,-113, 26, -380
2016-05-02 23:21:50 +0000,LC,1072, 15852, 8076,182, -500, 81,2016-05-02 23:21:50 +0000,RC,2696, 15664, 9188,-1335, -365, 513
2016-05-02 23:21:50 +0000,LC,1064, 14436, 8308,-631, -394, 690,2016-05-02 23:21:50 +0000,RC,3060, 14416, 8540,437, 68, -9
2016-05-02 23:21:50 +0000,LC,1196, 14112, 7472,1420, -405, 916,2016-05-02 23:21:50 +0000,RC,2672, 13604, 8316,285, -569, 222
2016-05-02 23:21:50 +0000,LC,1312, 14044, 5968,1907, 143, 1096,2016-05-02 23:21:50 +0000,RC,2652, 13656, 7680,96, 0, -794
